seed,omega_name,n_episodes,n_steps,mean_scalarised_reward,tail_p99_ms,mean_energy_step,mean_memory_delta,wall_time_s
0,energy_corner,200,5912,-0.17781762928980452,1.277562571340244,0.17781762928980452,0.17866223120963623,6.6387327359989285
0,memory_corner,200,5912,-0.17866223120963623,1.1949513346189633,0.17781762928980452,0.17866223120963623,6.483311808027793
0,center,200,5912,-0.050035726251294876,1.1775654659140857,0.17781762928980452,0.17866223120963623,6.490322304016445
1,energy_corner,200,5949,-0.17694765687048947,1.2807411537505684,0.17694765687048947,0.17783814170697612,6.533380159991793
1,memory_corner,200,5949,-0.17800589094925054,1.2761663505807517,0.1768441510553179,0.17800589094925054,6.6490175040089525
1,center,200,5949,-0.04976684309180233,1.2837056303396814,0.1768441510553179,0.17800589094925054,6.541424479975831
2,energy_corner,200,5901,-0.17775665210719999,1.275583985261619,0.17775665210719999,0.1793693497592646,6.513469632016495
2,memory_corner,200,5901,-0.17964383258271716,1.2075200211256742,0.17765844685407922,0.17964383258271716,6.617208352021407
2,center,200,5901,-0.050186658467181434,1.1538559920154512,0.17775665210719999,0.1793693497592646,6.468002495996188
3,energy_corner,200,5997,-0.1755335324800907,1.2205260386690497,0.1755335324800907,0.17562327944319983,6.613094879954588
3,memory_corner,200,5997,-0.17562327944319983,1.2609382346272469,0.1755335324800907,0.17562327944319983,6.707939136016648
3,center,200,5997,-0.04931531767507623,1.2499904236756265,0.1755335324800907,0.17562327944319983,6.60281049599871
4,energy_corner,200,5875,-0.17937057646284713,1.2348255538381636,0.17937057646284713,0.18012715214871344,6.52793862397084
4,memory_corner,200,5875,-0.18012715214871344,1.279167962493375,0.17937057646284713,0.18012715214871344,6.635224703990389
4,center,200,5875,-0.0503594950818001,1.2754975899588317,0.17937057646284713,0.18012715214871344,6.531203968042973
