prompt_idx,timestamp_s,latency_ms,n_new_tokens
0,10443558.379841,2388.294,12
1,10443559.049232,669.269,12
2,10443561.050808,669.423,12
3,10443563.054985,672.169,12
4,10443565.065962,681.724,12
5,10443567.073066,687.386,12
6,10443569.095158,708.045,12
7,10443571.096659,708.140,12
8,10443573.117234,727.311,12
9,10443575.115068,723.772,12
10,10443577.092592,699.925,12
11,10443579.124357,730.286,12
12,10443581.124173,728.744,12
13,10443583.104781,707.992,12
14,10443585.121869,723.665,12
15,10443587.127049,727.426,12
16,10443588.462362,62.338,1
17,10443591.105435,703.140,12
18,10443593.124779,721.077,12
19,10443595.128690,723.589,12
20,10443597.111890,705.381,12
21,10443599.129322,721.392,12
22,10443601.126782,717.452,12
23,10443603.111126,700.399,12
24,10443605.129958,717.917,12
25,10443607.135065,721.633,12
26,10443609.117338,702.496,12
27,10443611.135154,718.893,12
28,10443613.137571,719.917,12
29,10443614.711516,292.471,5
30,10443617.066932,646.905,11
31,10443619.148171,726.695,12
32,10443621.131765,708.911,12
33,10443623.122192,698.173,12
34,10443625.135856,710.422,12
35,10443626.487255,60.428,1
36,10443629.142853,714.836,12
37,10443631.145520,716.102,12
38,10443633.148732,717.929,12
39,10443635.149072,717.058,12
40,10443637.133347,699.962,12
41,10443639.149884,715.096,12
42,10443641.160467,724.447,12
43,10443643.155178,717.794,12
44,10443645.136400,697.632,12
45,10443647.159647,719.620,12
46,10443648.504942,63.538,1
47,10443651.150813,707.355,12
48,10443653.142569,698.549,12
49,10443654.517426,71.991,1
50,10443657.160050,712.565,12
51,10443659.162789,714.766,12
52,10443661.150301,700.873,12
53,10443662.521082,70.239,1
54,10443665.159949,707.921,12
55,10443667.162958,709.502,12
56,10443668.520138,65.289,1
57,10443671.171551,715.525,12
58,10443673.171573,714.141,12
59,10443674.532399,73.562,1
60,10443677.178592,718.579,12
61,10443679.166411,704.996,12
62,10443681.186833,724.011,12
63,10443683.185966,721.944,12
64,10443685.174766,709.360,12
65,10443687.174729,707.915,12
66,10443688.600624,132.392,2
67,10443691.187341,717.116,12
68,10443693.184609,712.987,12
69,10443695.181748,709.716,12
70,10443697.203917,730.492,12
71,10443699.203433,728.637,12
72,10443701.192162,716.141,12
73,10443702.541454,64.034,1
74,10443705.194261,714.798,12
75,10443707.203093,722.242,12
76,10443708.544677,62.452,1
77,10443711.205776,721.755,12
78,10443713.200451,715.043,12
79,10443715.208249,721.444,12
80,10443717.193506,705.328,12
81,10443719.217693,728.109,12
82,10443721.207532,716.573,12
83,10443723.201625,709.595,12
84,10443725.210050,716.624,12
85,10443726.559759,64.955,1
86,10443728.853237,357.217,6
87,10443731.210439,712.657,12
88,10443733.218091,718.910,12
89,10443735.229022,728.458,12
90,10443737.212569,710.641,12
91,10443739.214939,711.624,12
92,10443741.219214,714.516,12
93,10443743.209428,703.347,12
94,10443745.222518,715.052,12
95,10443747.225930,717.067,12
96,10443749.223995,713.743,12
97,10443751.205553,693.886,12
98,10443753.219944,706.889,12
99,10443755.223251,708.802,12
100,10443757.209518,693.696,12
101,10443759.234667,717.444,12
102,10443760.582100,63.500,1
103,10443763.223799,703.164,12
104,10443765.229502,707.475,12
105,10443767.234910,711.495,12
106,10443769.234982,710.181,12
107,10443771.223407,697.217,12
108,10443773.246966,719.362,12
109,10443774.591538,62.559,1
110,10443777.242062,711.040,12
111,10443779.226831,694.412,12
112,10443781.259170,725.342,12
113,10443783.245437,710.243,12
114,10443785.232980,696.391,12
115,10443787.273983,735.969,12
116,10443789.255047,715.652,12
117,10443791.243206,702.431,12
118,10443793.242676,700.493,12
119,10443795.253231,709.614,12
120,10443797.236114,691.092,12
121,10443798.605553,59.106,1
