agent,env,seed,omega_idx,omega_name,hv,n_pareto_points
preference_ppo,CartPole-v1,0,0,reward,0.00046087996741405374,2
preference_ppo,CartPole-v1,1,0,reward,0.00046054086594156255,3
preference_ppo,CartPole-v1,2,0,reward,0.00046064950880425024,2
preference_ppo,CartPole-v1,0,1,time,0.0001910044780431198,11
preference_ppo,CartPole-v1,1,1,time,0.00019086369848901155,11
preference_ppo,CartPole-v1,2,1,time,0.00019114636095187486,11
preference_ppo,CartPole-v1,0,2,memory,0.0001911677949162169,11
preference_ppo,CartPole-v1,1,2,memory,0.00019108845830312837,11
preference_ppo,CartPole-v1,2,2,memory,0.0001910280743736975,11
preference_ppo,CartPole-v1,0,3,energy,0.00019126007421095014,11
preference_ppo,CartPole-v1,1,3,energy,0.0001908755547779432,11
preference_ppo,CartPole-v1,2,3,energy,0.00019108901566720866,11
preference_ppo,CartPole-v1,0,4,center,0.0003010492423162018,13
preference_ppo,CartPole-v1,1,4,center,0.0002619608997894368,4
preference_ppo,CartPole-v1,2,4,center,0.0002619167196893661,11
preference_ppo,dag_scheduler_mo-v0,0,0,reward,1.350673372274288e-05,1
preference_ppo,dag_scheduler_mo-v0,1,0,reward,1.353690878050203e-05,1
preference_ppo,dag_scheduler_mo-v0,2,0,reward,1.3485207516787354e-05,1
preference_ppo,dag_scheduler_mo-v0,0,1,time,4.144925166365017e-07,8
preference_ppo,dag_scheduler_mo-v0,1,1,time,4.150634636550779e-07,3
preference_ppo,dag_scheduler_mo-v0,2,1,time,4.1481845024907464e-07,9
preference_ppo,dag_scheduler_mo-v0,0,2,memory,4.1371424144646635e-07,6
preference_ppo,dag_scheduler_mo-v0,1,2,memory,4.1390475120522856e-07,9
preference_ppo,dag_scheduler_mo-v0,2,2,memory,4.1390433017426126e-07,6
preference_ppo,dag_scheduler_mo-v0,0,3,energy,5.111920016091338e-07,7
preference_ppo,dag_scheduler_mo-v0,1,3,energy,5.11189103203014e-07,10
preference_ppo,dag_scheduler_mo-v0,2,3,energy,5.114537738969491e-07,6
preference_ppo,dag_scheduler_mo-v0,0,4,center,6.047735550733455e-06,10
preference_ppo,dag_scheduler_mo-v0,1,4,center,5.122596136029365e-06,10
preference_ppo,dag_scheduler_mo-v0,2,4,center,3.862291439366936e-06,11
dvfs_drl_multitask,CartPole-v1,0,0,reward,0.0004099363125853973,4
dvfs_drl_multitask,CartPole-v1,1,0,reward,0.0004096859034553527,2
dvfs_drl_multitask,CartPole-v1,2,0,reward,0.00041042987757171324,4
dvfs_drl_multitask,CartPole-v1,0,1,time,0.00017327259434007206,22
dvfs_drl_multitask,CartPole-v1,1,1,time,0.00018318149324756078,11
dvfs_drl_multitask,CartPole-v1,2,1,time,0.00019622454514555063,12
dvfs_drl_multitask,CartPole-v1,0,2,memory,0.00038913247829361347,1
dvfs_drl_multitask,CartPole-v1,1,2,memory,0.00040849512813114934,3
dvfs_drl_multitask,CartPole-v1,2,2,memory,0.0004074631955793847,3
dvfs_drl_multitask,CartPole-v1,0,3,energy,0.0003876984559003473,7
dvfs_drl_multitask,CartPole-v1,1,3,energy,0.00040917301592624067,2
dvfs_drl_multitask,CartPole-v1,2,3,energy,0.0004079847954481477,2
dvfs_drl_multitask,CartPole-v1,0,4,center,0.0003891120754669791,2
dvfs_drl_multitask,CartPole-v1,1,4,center,0.000409440230542783,2
dvfs_drl_multitask,CartPole-v1,2,4,center,0.0004071950171397257,1
dvfs_drl_multitask,dag_scheduler_mo-v0,0,0,reward,0.0001484094832952756,13
dvfs_drl_multitask,dag_scheduler_mo-v0,1,0,reward,2.296511648149402e-05,10
dvfs_drl_multitask,dag_scheduler_mo-v0,2,0,reward,0.00011676994449757404,12
dvfs_drl_multitask,dag_scheduler_mo-v0,0,1,time,2.7147558360967813e-06,23
dvfs_drl_multitask,dag_scheduler_mo-v0,1,1,time,2.1379007539939872e-06,25
dvfs_drl_multitask,dag_scheduler_mo-v0,2,1,time,2.1196870701154257e-06,22
dvfs_drl_multitask,dag_scheduler_mo-v0,0,2,memory,3.144988997885851e-06,26
dvfs_drl_multitask,dag_scheduler_mo-v0,1,2,memory,2.8129815305791276e-06,24
dvfs_drl_multitask,dag_scheduler_mo-v0,2,2,memory,3.049774905878017e-06,23
dvfs_drl_multitask,dag_scheduler_mo-v0,0,3,energy,6.894195916167238e-06,22
dvfs_drl_multitask,dag_scheduler_mo-v0,1,3,energy,6.266214420850184e-06,24
dvfs_drl_multitask,dag_scheduler_mo-v0,2,3,energy,6.476421344146582e-06,24
dvfs_drl_multitask,dag_scheduler_mo-v0,0,4,center,5.567424405647002e-06,28
dvfs_drl_multitask,dag_scheduler_mo-v0,1,4,center,5.477464217555403e-06,19
dvfs_drl_multitask,dag_scheduler_mo-v0,2,4,center,5.321405052966308e-06,26
