env_name,agent_type,ablation,platform,seed,n_episodes,n_steps,mean_reward,override_fire_count,tail_p99_ms,mean_energy_j,mean_memory_util,wall_time_s
CartPole-v1,preference_ppo,none,orin_nano,0,200,1877,1.000000,0,0.150396,0.001000,0.101092,0.382317
CartPole-v1,preference_ppo,none,orin_nano,1,200,1877,1.000000,0,0.141827,0.001000,0.101092,0.371032
CartPole-v1,preference_ppo,none,orin_nano,2,200,1876,1.000000,0,0.142008,0.001000,0.101079,0.371474
CartPole-v1,preference_ppo,none,orin_nano,0,200,4199,1.000000,2799,0.149892,0.001333,0.150293,0.824760
CartPole-v1,preference_ppo,none,orin_nano,1,200,4199,1.000000,2799,0.150097,0.001333,0.150293,0.823645
CartPole-v1,preference_ppo,none,orin_nano,2,200,4216,1.000000,2816,0.153293,0.001332,0.150433,0.824131
CartPole-v1,preference_ppo,none,orin_nano,0,200,4199,1.000000,2799,0.150241,0.001333,0.150293,0.818349
CartPole-v1,preference_ppo,none,orin_nano,1,200,4199,1.000000,2799,0.150304,0.001333,0.150293,0.819751
CartPole-v1,preference_ppo,none,orin_nano,2,200,4216,1.000000,2816,0.150208,0.001332,0.150433,0.824755
CartPole-v1,preference_ppo,none,orin_nano,0,200,4199,1.000000,2799,0.151714,0.001333,0.150293,0.820361
CartPole-v1,preference_ppo,none,orin_nano,1,200,4199,1.000000,2799,0.150630,0.001333,0.150293,0.821540
CartPole-v1,preference_ppo,none,orin_nano,2,200,4216,1.000000,2816,0.149190,0.001332,0.150433,0.822786
CartPole-v1,preference_ppo,none,orin_nano,0,200,4232,1.000000,2760,0.149371,0.001267,0.143709,0.832864
CartPole-v1,preference_ppo,none,orin_nano,1,200,4202,1.000000,2727,0.149439,0.001262,0.142801,0.827375
CartPole-v1,preference_ppo,none,orin_nano,2,200,4165,1.000000,2671,0.150199,0.001263,0.142370,0.819838
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,0,200,4800,0.041667,2601,0.221473,0.001000,0.137500,1.231612
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,1,200,4800,0.041667,2600,0.215616,0.001000,0.137500,1.224444
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,2,200,4800,0.041667,2600,0.218370,0.001000,0.137500,1.225837
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,0,200,4800,-0.051718,3400,0.221536,0.002458,0.149167,1.246723
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,1,200,4800,-0.051705,3400,0.223264,0.002458,0.149167,1.249827
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,2,200,4800,-0.051403,3400,0.222720,0.002458,0.149167,1.247539
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,0,200,4800,-0.051475,3400,0.222944,0.002458,0.149167,1.250984
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,1,200,4800,-0.051506,3400,0.222369,0.002458,0.149167,1.248703
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,2,200,4800,-0.051242,3400,0.223104,0.002458,0.149167,1.248933
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,0,200,4800,-0.008652,3400,0.222244,0.002458,0.149167,1.250084
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,1,200,4800,-0.008651,3400,0.222305,0.002458,0.149167,1.249096
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,2,200,4800,-0.008594,3400,0.222337,0.002458,0.149167,1.249487
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,0,200,4800,-0.014888,3318,0.223200,0.002139,0.146608,1.255205
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,1,200,4800,-0.014893,3325,0.223170,0.002157,0.146758,1.253067
dag_scheduler_mo-v0,preference_ppo,none,orin_nano,2,200,4800,-0.014789,3304,0.222048,0.002154,0.146733,1.252987
CartPole-v1,dvfs_drl_multitask,none,orin_nano,0,200,2107,1.000000,238,0.250496,0.001103,0.108199,0.643800
CartPole-v1,dvfs_drl_multitask,none,orin_nano,1,200,2149,1.000000,277,0.254154,0.001103,0.108937,0.653346
CartPole-v1,dvfs_drl_multitask,none,orin_nano,2,200,2129,1.000000,273,0.250867,0.001104,0.108816,0.647708
CartPole-v1,dvfs_drl_multitask,none,orin_nano,0,200,4374,1.000000,2941,0.255936,0.001284,0.147056,1.320498
CartPole-v1,dvfs_drl_multitask,none,orin_nano,1,200,4465,1.000000,3038,0.263062,0.001280,0.147985,1.355080
CartPole-v1,dvfs_drl_multitask,none,orin_nano,2,200,4248,1.000000,2828,0.258199,0.001296,0.146492,1.286460
CartPole-v1,dvfs_drl_multitask,none,orin_nano,0,200,3310,1.000000,1691,0.254462,0.001247,0.130985,1.001031
CartPole-v1,dvfs_drl_multitask,none,orin_nano,1,200,3376,1.000000,1728,0.259792,0.001239,0.131632,1.022429
CartPole-v1,dvfs_drl_multitask,none,orin_nano,2,200,3327,1.000000,1673,0.254772,0.001240,0.130902,1.007158
CartPole-v1,dvfs_drl_multitask,none,orin_nano,0,200,3310,1.000000,1691,0.253694,0.001247,0.130985,1.004468
CartPole-v1,dvfs_drl_multitask,none,orin_nano,1,200,3376,1.000000,1728,0.256616,0.001239,0.131632,1.024440
CartPole-v1,dvfs_drl_multitask,none,orin_nano,2,200,3327,1.000000,1673,0.257255,0.001240,0.130902,1.009553
CartPole-v1,dvfs_drl_multitask,none,orin_nano,0,200,3310,1.000000,1691,0.254092,0.001247,0.130985,1.009137
CartPole-v1,dvfs_drl_multitask,none,orin_nano,1,200,3376,1.000000,1728,0.256480,0.001239,0.131632,1.029263
CartPole-v1,dvfs_drl_multitask,none,orin_nano,2,200,3327,1.000000,1673,0.254965,0.001240,0.130902,1.014682
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,0,200,4773,0.115232,2905,0.336189,0.001488,0.141237,1.790224
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,1,200,4800,0.113125,2931,0.331393,0.001467,0.141235,1.800861
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,2,200,4787,0.111970,2930,0.331460,0.001503,0.141438,1.795633
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,0,200,4774,-0.104439,3303,0.335597,0.002170,0.146701,1.799681
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,1,200,4785,-0.108216,3316,0.338525,0.002151,0.146635,1.803587
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,2,200,4770,-0.108038,3288,0.334900,0.002169,0.146701,1.796239
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,0,200,4721,-0.147077,3093,0.335635,0.001872,0.144104,1.780517
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,1,200,4725,-0.147942,3073,0.337551,0.001858,0.143976,1.782646
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,2,200,4652,-0.152489,3033,0.335550,0.001885,0.143798,1.753759
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,0,200,4721,-0.024832,3093,0.336211,0.001872,0.144104,1.781203
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,1,200,4725,-0.024805,3073,0.336378,0.001858,0.143976,1.777853
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,2,200,4652,-0.025501,3033,0.336091,0.001885,0.143798,1.759065
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,0,200,4666,-0.041750,3030,0.334147,0.001892,0.143924,1.768972
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,1,200,4724,-0.040662,3075,0.338105,0.001870,0.144075,1.798869
dag_scheduler_mo-v0,dvfs_drl_multitask,none,orin_nano,2,200,4756,-0.037659,3120,0.333181,0.001862,0.144175,1.799257
